name,category,url,description,pricing,tags
ChatGPT Plus / Pro,LLM Chatbot,https://chatgpt.com,"OpenAI's flagship AI assistant with GPT-4o, reasoning models (o1, o3-mini), Deep Research, Advanced Voice, Canvas, and custom GPTs","$20/month Plus (~160 msgs/3h, ~3000 o3-mini/wk); $200/month Pro (unlimited frontier compute)","chatbot,frontier,reasoning,deep-research,voice,subscription"
Claude Pro / Team,LLM Chatbot,https://claude.ai,"Anthropic's flagship assistant featuring Claude 3.7 Sonnet (hybrid fast/thinking), Claude 3.5 Opus, artifacts workspace, and Projects","$20/month Pro (5x usage limit over free, priority access, extended thinking); $25-$30/user/month Team/Enterprise","chatbot,frontier,reasoning,coding,artifacts,subscription"
Gemini Advanced,LLM Chatbot,https://gemini.google.com/advanced,"Google's premier assistant with Gemini 2.0 Pro / 1.5 Pro, 2M token context window, Deep Research, and Google Workspace integration","$19.99/month (Google One AI Premium plan, includes 2TB Google One cloud storage and Gemini inside Gmail/Docs)","chatbot,multimodal,workspace,google,deep-research,subscription"
Microsoft Copilot Pro,Productivity,https://copilot.microsoft.com,"Personal AI subscription integrating GPT-4o into Microsoft 365 apps (Word, Excel, PowerPoint, Outlook) plus priority model access","$20/month per user (requires Microsoft 365 Personal or Family subscription for office apps integration)","productivity,office,microsoft,writing,enterprise,subscription"
Perplexity Pro,Search / Research,https://perplexity.ai,"AI search engine with multi-model switching (Claude 3.7, GPT-4o, Sonar, DeepSeek R1), unlimited Pro Search, file analysis, and $5/mo API credits","$20/month ($200/year); includes 300+ Pro Searches/day, playground access, and research spaces","search,research,multi-model,citations,reasoning,subscription"
Grok / X Premium+,LLM Chatbot,https://x.ai,"xAI's conversational AI with real-time X/Twitter data grounding, Grok 3 reasoning, Aurora thinking mode, and FLUX image generation","$16/month (billed annually) or $22 monthly via X Premium+; SuperGrok standalone plans available","chatbot,real-time,xai,reasoning,image-gen,subscription"
Cursor Pro,Code Assistant,https://cursor.com,"AI-first code editor based on VS Code with multi-file Agent Composer, instant codebase indexing, and Cursor Tab predictive autocomplete","$20/month Pro ($192/year) with 500 fast requests/mo and unlimited slow requests; $40/user/mo Business","coding,editor,agent,composer,ide,subscription"
Windsurf Pro,Code Assistant,https://codeium.com/windsurf,"Agentic AI IDE with Cascade Flows, deep multi-file awareness, realtime lint-error fixing, and Claude 3.7 / GPT-4o integration","$15-$20/month Pro with daily/weekly quotas and unlimited Cascade Flow actions; $40/user/month Teams","coding,ide,agent,cascade,multi-file,subscription"
GitHub Copilot Pro,Code Assistant,https://github.com/features/copilot,"AI pair programmer with multi-model switching (Claude 3.7 Sonnet, GPT-4o, Gemini 2.0 Flash), PR summaries, and workspace code indexing","$10/month or $100/year Individual; $19/user/month Business; $39/user/month Enterprise","coding,github,copilot,autocomplete,ide,subscription"
OpenCode Go,Code Assistant,https://opencode.ai/go,"Flat subscription from the OpenCode team: one key for 18 hosted open coding models via OpenCode Zen","$5 first month then $10/month; metered in dollars — $12 per 5 hours, $30/week, $60/month","coding,terminal,agent,open-models,subscription"
Augment Code,Code Assistant,https://augmentcode.com,"Enterprise-grade AI coding assistant built for large, complex enterprise codebases with instant whole-repo context understanding","$20/user/month Developer, $40/user/month Team (annual billing); 14-day free trial, no ongoing free tier","coding,enterprise,large-codebase,ide,context,subscription"
Tabnine,Code Assistant,https://tabnine.com,"Privacy-first AI coding assistant with SaaS, VPC, on-premises and air-gapped deployment; never trains on or retains your code","$39/user/month Code Assistant, $59/user/month Agentic Platform (billed annually); 14-day trial, no free tier since the Basic plan was retired in 2025","coding,privacy,enterprise,self-hosted,ide,subscription"
Midjourney,Image Generation,https://midjourney.com,"Subscription-only text-to-image generator known for its stylised, high-aesthetic output","$10/mo Basic, $30 Standard, $60 Pro, $120 Mega (20% off paid annually)","image,art,design,subscription"
Magnific AI,Image Generation,https://magnific.ai,"AI image upscaler and enhancer that can add intricate photorealistic details, hallucinate textures, and relight imagery","$39/month Pro (2,500 credits), $99/month Premium, $299/month Business (20% off annual)","image,upscaling,enhancer,photorealism,creative,subscription"
Runway,Video Generation,https://runwayml.com,"Industry-standard AI video generation platform featuring Gen-3 Alpha, Act-One motion capture, camera control, and multi-motion brush","$12/user/mo Standard (625 credits/mo), $28/mo Pro (2250 credits/mo), $76/mo Unlimited","video,gen-3,animation,vfx,motion,creative,subscription"
Luma Dream Machine,Video Generation,https://lumalabs.ai/dream-machine,"High-fidelity text-to-video and image-to-video generator capable of camera motions, keyframe interpolation, and video extension","$29.99/month Standard (120 gens/mo), $99.99/month Pro (400 gens/mo), $499.99/month Premier","video,cinematic,camera-control,animation,creative,subscription"
Pika Pro,Video Generation,https://pika.art,"Creative video generation platform with Pikaffects (inflate, melt, crush, explode), lip sync, sound effects, and expandable canvas","$10/month Standard, $35/month Pro, $60/month Unlimited (billed annually)","video,effects,lip-sync,animation,creative,subscription"
ElevenLabs,Audio / Voice,https://elevenlabs.io,"Hyper-realistic AI voice generator, professional voice cloning, speech-to-speech, sound effect generator, and multilingual dubbing studio","$5/mo Starter (30k chars), $22/mo Creator (100k chars + instant cloning), $99/mo Pro (500k chars)","audio,voice,tts,voice-cloning,dubbing,sound-effects,subscription"
Suno,Audio / Music,https://suno.com,"AI music generator creating full radio-ready songs with vocals and instrumentation in any genre from a text prompt","$10/month Pro (2,500 credits ~500 songs/mo, commercial terms), $30/month Premier (10,000 credits/mo)","music,audio,songs,vocals,creative,subscription"
Udio,Audio / Music,https://udio.com,"High-fidelity AI music generation with stem separation, audio inpainting, custom lyric syncing, and remix tools","$10/month Standard (1,200 credits/mo), $30/month Pro (4,800 credits/mo, advanced features)","music,audio,stems,inpainting,remix,creative,subscription"
Notion AI,Productivity,https://notion.so,"AI writing, summarisation and agents inside Notion",Included with Notion Plus $10/user/month (basic writing) or Business $20/user/month (agents); the Free plan gets a capped trial only,"productivity,writing,notes,agents,subscription"
