name,category,url,description,free_tier,requires_signup,tags
Claude (Anthropic),LLM Chatbot,https://claude.ai,Anthropic's AI assistant — strong reasoning and long context,Free tier with usage limits,Yes,"chat,reasoning,coding,writing"
ChatGPT,LLM Chatbot,https://chat.openai.com,OpenAI's flagship assistant,Free tier (GPT-4o limited),Yes,"chat,coding,writing,image"
Gemini,LLM Chatbot,https://gemini.google.com,Google's multimodal AI assistant,Free tier available,Yes,"chat,multimodal,coding,search"
Google AI Studio,LLM API,https://aistudio.google.com,"Gemini API with a generous free quota — current Flash models (3.6 Flash, 2.5 Flash-Lite) are free; the Gemini 2.5 Pro/Flash endpoints retired June 17 2026",Free API key with rate limits; no credit card,Yes,"api,gemini,prototyping"
Groq,LLM API,https://console.groq.com,Blazing-fast inference for open models (Llama etc.),Free tier: ~30 requests/min on open models,Yes,"api,fast,llama,mistral"
Together AI,LLM API,https://api.together.xyz,Serverless inference for 100+ open-source models,$5 free credit on signup,Yes,"api,open-source,llama,mistral"
Mistral AI (La Plateforme),LLM API,https://console.mistral.ai,Access to Mistral models via API,Free tier available,Yes,"api,mistral,coding"
Cohere,LLM API,https://dashboard.cohere.com,NLP-focused models for generation and embeddings,"Free trial key: 1000 calls/month, non-commercial use only",Yes,"api,embeddings,rag"
Hugging Face Inference API,LLM API,https://huggingface.co/inference-api,Free serverless inference for thousands of public models,Free with rate limits,Yes,"api,open-source,models,embeddings"
OpenRouter,LLM API,https://openrouter.ai,Unified API routing to many models; community-funded :free tier gives rate-limited access to many models,Free tier: 14 models at ~50 requests/day (up to 1M context),Yes,"api,routing,aggregator"
Perplexity AI,Search / Research,https://www.perplexity.ai,AI-powered search with cited answers,Free tier available,No,"search,research,citations"
You.com,Search / Research,https://you.com,AI search engine with conversational interface,Free,No,"search,research,chat"
Phind,Search / Research,https://www.phind.com,Developer-focused AI search and coding assistant,Free,No,"search,coding,developer"
Ollama,Local / Self-hosted,https://ollama.com,Run LLMs locally with a simple CLI,Completely free,No,"local,open-source,llama,mistral,privacy"
LM Studio,Local / Self-hosted,https://lmstudio.ai,Desktop app to download and run local models,Completely free,No,"local,desktop,open-source,privacy"
Jan,Local / Self-hosted,https://jan.ai,Offline-first AI assistant with local model support,Completely free,No,"local,desktop,open-source,privacy"
GPT4All,Local / Self-hosted,https://gpt4all.io,Run LLMs locally on CPU/GPU,Completely free,No,"local,desktop,cpu,privacy"
Stable Diffusion (via DiffusionBee),Image Generation,https://diffusionbee.com,Run Stable Diffusion locally on Mac,Completely free,No,"image,local,mac,art"
Adobe Firefly,Image Generation,https://firefly.adobe.com,Adobe's generative image tools,Free credits monthly,Yes,"image,art,design"
Microsoft Designer,Image Generation,https://designer.microsoft.com,AI image generation via DALL-E,Free tier available,Yes,"image,art,design"
Ideogram,Image Generation,https://ideogram.ai,Text-to-image with strong typography,Free tier available,Yes,"image,art,text,typography"
Playground AI,Image Generation,https://playground.com,Image generation and editing,Free tier available,Yes,"image,art,editing"
Canva AI,Image Generation,https://canva.com,AI image generation and design tools,Free tier with AI features,Yes,"image,design,templates"
GitHub Copilot,Code Assistant,https://github.com/features/copilot,"AI code completion in your editor; completions stay free and unmetered, while chat, agent mode and CLI draw on AI Credits from June 2026",Free for all users (2000 completions + 50 chats/month),Yes,"coding,autocomplete,ide"
Windsurf (formerly Codeium),Code Assistant,https://windsurf.com,AI-native code editor with the agentic Cascade feature (Codeium rebranded); credit system retired March 2026 in favour of daily/weekly quotas,Free tier: unlimited Tab autocomplete and inline edits + ~25 Cascade Flow Actions/month,Yes,"coding,editor,autocomplete,agent,ide"
Cursor,Code Assistant,https://cursor.sh,AI-first code editor built on VS Code; free plan is now branded Hobby,"Free Hobby plan: limited Agent requests and Tab completions, no credit card",Yes,"coding,editor,chat"
Continue,Code Assistant,https://continue.dev,Open-source AI code assistant for VS Code / JetBrains,Completely free,No,"coding,open-source,ide,vscode"
Aider,Code Assistant,https://aider.chat,AI pair programming in your terminal,Completely free (bring your own key),No,"coding,terminal,open-source"
ElevenLabs,Audio / Voice,https://elevenlabs.io,High-quality AI text-to-speech and voice cloning,Free tier (10k chars/month),Yes,"audio,tts,voice,cloning"
Whisper (OpenAI),Audio / Voice,https://github.com/openai/whisper,State-of-the-art open-source speech recognition,Completely free,No,"audio,stt,transcription,open-source"
Suno,Audio / Music,https://suno.com,AI music generation from text prompts; free-tier tracks stream and share on Suno but can no longer be downloaded,"Free: 50 credits/day (~10 songs); no downloads, no commercial use",Yes,"audio,music,generation"
Udio,Audio / Music,https://udio.com,AI music generation and remixing,Free: 10 songs/month,Yes,"audio,music,generation"
Runway,Video Generation,https://runwayml.com,AI video generation and editing tools,Free tier (limited credits),Yes,"video,generation,editing"
CapCut,Video Generation,https://capcut.com,AI video editing with auto-captions and effects,Free tier available,Yes,"video,editing,captions"
Descript,Video Generation,https://descript.com,AI video/audio editing with transcription,Free tier available,Yes,"video,audio,transcription,editing"
NotebookLM,Productivity,https://notebooklm.google.com,Google's AI research and note-taking tool (upload docs),Free,Yes,"productivity,research,summarization,rag"
Gamma,Productivity,https://gamma.app,AI-powered presentation and document creation,Free tier available,Yes,"productivity,presentations,docs"
Napkin AI,Productivity,https://napkin.ai,Turn text into visuals and diagrams automatically,Free tier available,Yes,"productivity,diagrams,visuals"
v0 by Vercel,Code / UI,https://v0.dev,Generate React/UI components from prompts,Free tier available,Yes,"coding,ui,react,frontend"
Bolt.new,Code / UI,https://bolt.new,Full-stack AI app builder in the browser,Free tier available,Yes,"coding,fullstack,frontend,deployment"
Cerebras,LLM API,https://cloud.cerebras.ai,Ultra-fast inference API for open models (Llama 4 and Qwen) via custom silicon,Free tier: 1M tokens/day with no credit card,Yes,"api,fast,llama,open-source,inference"
Muse Spark,LLM Chatbot,https://meta.ai,Meta's first model from Meta Superintelligence Labs — natively multimodal (text/image/audio) with tool use and visual chain-of-thought; available via meta.ai,Free; requires Meta account (Facebook or Instagram login),Yes,"chat,multimodal,reasoning,meta,audio,image"
Le Chat,LLM Chatbot,https://chat.mistral.ai,Mistral's AI assistant with web search and image generation built in,Free tier with daily limits; no credit card required,Yes,"chat,search,multimodal,mistral"
DeepSeek,LLM Chatbot,https://chat.deepseek.com,Free chatbot featuring strong reasoning and coding from DeepSeek's open-weight models,Free with usage limits,No,"chat,reasoning,coding,open-source"
Antigravity,Code Assistant,https://antigravity.google,Google's AI-native IDE and `agy` CLI that coordinate Manager/Writer/Critic/Tester agents; the official replacement for Gemini CLI,Free with a personal Google account (generous Gemini quota),Yes,"coding,ide,terminal,google,agent,gemini"
